Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Welcher Begriff wird so definiert?<br><br>Als Benutzung gilt auch die Benutzung in einer Form, die von der Eintragung abweicht, soweit die Abweichungen den kennzeichnenden Charakter der Marke nicht verändern – auch wenn die abweichende Form selbst eingetragen ist (<a href=""https://www.gesetze-im-internet.de/markeng/__26.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 26 Abs. 3 S. 2</a>)."	"Benutzung in abweichender Form (<a href=""https://www.gesetze-im-internet.de/markeng/__26.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 26 Abs. 3</a>)"	Begriff Umkehr Benutzungszwang
Definiere: Benutzungsschonfrist	"Innerhalb von fünf Jahren nach der Eintragung (bzw. nach Abschluss eines Widerspruchsverfahrens, <a href=""https://www.gesetze-im-internet.de/markeng/__26.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 26 Abs. 5</a>) ist die Nichtbenutzung unschädlich. Erst danach können Ansprüche wegen Nichtbenutzung ausgeschlossen (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25</a>) und die Marke für verfallen erklärt werden (<a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 1</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 16 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 19 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__26.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 26 Abs. 5 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 1 MarkenG</a>"	Begriff Benutzungszwang
"Welcher Begriff wird so definiert?<br><br>Innerhalb von fünf Jahren nach der Eintragung (bzw. nach Abschluss eines Widerspruchsverfahrens, <a href=""https://www.gesetze-im-internet.de/markeng/__26.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 26 Abs. 5</a>) ist die Nichtbenutzung unschädlich. Erst danach können Ansprüche wegen Nichtbenutzung ausgeschlossen (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25</a>) und die Marke für verfallen erklärt werden (<a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 1</a>)."	Benutzungsschonfrist	Begriff Umkehr Benutzungszwang
"Definiere: Nichtbenutzungseinrede (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>)"	"Im Verletzungsprozess (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25 Abs. 2</a>) und im Widerspruchsverfahren (<a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>) kann der Gegner die Einrede erheben, die Marke sei innerhalb der letzten fünf Jahre nicht rechtserhaltend benutzt worden; dann muss der Inhaber die Benutzung nachweisen (im Verletzungsprozess) bzw. glaubhaft machen (im Widerspruchsverfahren).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 17 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 44 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 46 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1 MarkenG</a><br><br>Rechtsprechung: BGH VOODOO (I ZR 106/11); BPatG SILVER HORSE/POWER HORSE (26 W (pat) 38/17); BGH Silver Horse/Power Horse (I ZB 65/22)"	Begriff Benutzungszwang
"Welcher Begriff wird so definiert?<br><br>Im Verletzungsprozess (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25 Abs. 2</a>) und im Widerspruchsverfahren (<a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>) kann der Gegner die Einrede erheben, die Marke sei innerhalb der letzten fünf Jahre nicht rechtserhaltend benutzt worden; dann muss der Inhaber die Benutzung nachweisen (im Verletzungsprozess) bzw. glaubhaft machen (im Widerspruchsverfahren)."	"Nichtbenutzungseinrede (<a href=""https://www.gesetze-im-internet.de/markeng/__25.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 25</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>)"	Begriff Umkehr Benutzungszwang
"Definiere: Verfall (<a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49</a>)"	"Die Marke wird auf Antrag für verfallen erklärt und gelöscht, wenn (1) sie nach der Eintragung fünf Jahre ununterbrochen nicht rechtserhaltend benutzt wurde (Abs. 1), (2) sie infolge des Verhaltens des Inhabers zur gebräuchlichen Bezeichnung geworden ist (Abs. 2 Nr. 1), (3) sie infolge ihrer Benutzung täuschend geworden ist (Abs. 2 Nr. 2) oder (4) der Inhaber die Voraussetzungen des <a href=""https://www.gesetze-im-internet.de/markeng/__7.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 7</a> nicht mehr erfüllt (Abs. 2 Nr. 3).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 19 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 20 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 21 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 35 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 45 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 47 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__52.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 52 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__53.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 53 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__55.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 55 MarkenG</a><br><br>Rechtsprechung: BGH VOODOO (I ZR 106/11); BGH TÜV II (I ZR 108/09); BPatG AUTOMATOR (Widerspruch gegen Verfallsantrag) (29 W (pat) 30/22)"	Begriff Verfahren
"Welcher Begriff wird so definiert?<br><br>Die Marke wird auf Antrag für verfallen erklärt und gelöscht, wenn (1) sie nach der Eintragung fünf Jahre ununterbrochen nicht rechtserhaltend benutzt wurde (Abs. 1), (2) sie infolge des Verhaltens des Inhabers zur gebräuchlichen Bezeichnung geworden ist (Abs. 2 Nr. 1), (3) sie infolge ihrer Benutzung täuschend geworden ist (Abs. 2 Nr. 2) oder (4) der Inhaber die Voraussetzungen des <a href=""https://www.gesetze-im-internet.de/markeng/__7.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 7</a> nicht mehr erfüllt (Abs. 2 Nr. 3)."	"Verfall (<a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49</a>)"	Begriff Umkehr Verfahren
"Definiere: Nichtigkeit (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">50</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">51</a>)"	"Die Eintragung wird auf Antrag für nichtig erklärt und gelöscht, wenn die Marke entgegen §§ <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__7.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">7</a> oder 8 eingetragen wurde (<a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50</a> – absolute Schutzhindernisse) oder ihr ein Recht mit älterem Zeitrang i.S.d. §§ <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">9</a>-<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">13</a> entgegensteht (<a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51</a> – relative Nichtigkeitsgründe).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 7 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 36 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 45 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 46 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 47 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__52.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 52 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__53.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 53 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__55.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 55 MarkenG</a><br><br>Rechtsprechung: BGH smartbook (I ZB 59/12); BGH Sparkassen-Rot (I ZB 52/15); BGH Black Friday (I ZB 21/20); BGH Quadratische Tafelschokoladenverpackung II (I ZB 42/19)"	Begriff Verfahren
"Welcher Begriff wird so definiert?<br><br>Die Eintragung wird auf Antrag für nichtig erklärt und gelöscht, wenn die Marke entgegen §§ <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__7.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">7</a> oder 8 eingetragen wurde (<a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50</a> – absolute Schutzhindernisse) oder ihr ein Recht mit älterem Zeitrang i.S.d. §§ <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">9</a>-<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">13</a> entgegensteht (<a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51</a> – relative Nichtigkeitsgründe)."	"Nichtigkeit (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">50</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">51</a>)"	Begriff Umkehr Verfahren
"Definiere: Widerspruchsverfahren (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">42</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">43</a>)"	"Innerhalb von drei Monaten nach Veröffentlichung der Eintragung kann der Inhaber eines älteren Rechts (ältere Marke, notorisch bekannte Marke, Benutzungsmarke, geschäftliche Bezeichnung, geschützte Ursprungsbezeichnung) beim DPMA Widerspruch gegen die Eintragung erheben (<a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42</a>). Auf Einrede muss er die Benutzung seiner älteren Marke glaubhaft machen (<a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 43 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__66.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 66 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__83.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 83 MarkenG</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 44 MarkenRL</a><br><br>Rechtsprechung: BGH Maalox/Melox-GRY (I ZB 52/09); BGH DESPERADOS/DESPERADO (I ZB 63/12); BGH Silver Horse/Power Horse (I ZB 65/22); BPatG Aussetzung bei Nichtigkeitsantrag gegen die Unionswiderspruchsmarke (29 W (pat) 522/20)"	Begriff Verfahren
"Welcher Begriff wird so definiert?<br><br>Innerhalb von drei Monaten nach Veröffentlichung der Eintragung kann der Inhaber eines älteren Rechts (ältere Marke, notorisch bekannte Marke, Benutzungsmarke, geschäftliche Bezeichnung, geschützte Ursprungsbezeichnung) beim DPMA Widerspruch gegen die Eintragung erheben (<a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42</a>). Auf Einrede muss er die Benutzung seiner älteren Marke glaubhaft machen (<a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 43 Abs. 1</a>)."	"Widerspruchsverfahren (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">42</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__43.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">43</a>)"	Begriff Umkehr Verfahren
"Definiere: Lizenz (<a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30</a>)"	"Das Markenrecht kann für alle oder einen Teil der Waren/Dienstleistungen ausschließlich oder nicht ausschließlich, räumlich oder sachlich beschränkt lizenziert werden (<a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 1</a>). Bei Verstoß des Lizenznehmers gegen die in <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 2</a> genannten Beschränkungen kann der Inhaber die Marke gegen ihn geltend machen; ein Inverkehrbringen unter Verstoß gegen diese Beschränkungen erfolgt ohne Zustimmung (keine Erschöpfung).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 22 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 25 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__27.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 27 MarkenG</a><br><br>Rechtsprechung: BGH Converse II (I ZR 137/10)"	Begriff Verkehr_mit_Marken
"Welcher Begriff wird so definiert?<br><br>Das Markenrecht kann für alle oder einen Teil der Waren/Dienstleistungen ausschließlich oder nicht ausschließlich, räumlich oder sachlich beschränkt lizenziert werden (<a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 1</a>). Bei Verstoß des Lizenznehmers gegen die in <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 2</a> genannten Beschränkungen kann der Inhaber die Marke gegen ihn geltend machen; ein Inverkehrbringen unter Verstoß gegen diese Beschränkungen erfolgt ohne Zustimmung (keine Erschöpfung)."	"Lizenz (<a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30</a>)"	Begriff Umkehr Verkehr_mit_Marken
Definiere: Aktivlegitimation / Rechtsinhaberschaft	"Anspruchsberechtigt ist der Markeninhaber (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__28.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 28 Abs. 1</a>: Vermutung der Inhaberschaft für den Eingetragenen) sowie der Lizenznehmer unter den Voraussetzungen des <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 3</a>.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 22 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__28.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 28 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 3 MarkenG</a>"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Anspruchsberechtigt ist der Markeninhaber (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__28.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 28 Abs. 1</a>: Vermutung der Inhaberschaft für den Eingetragenen) sowie der Lizenznehmer unter den Voraussetzungen des <a href=""https://www.gesetze-im-internet.de/markeng/__30.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 30 Abs. 3</a>."	Aktivlegitimation / Rechtsinhaberschaft	Begriff Umkehr Rechtsfolgen
"Definiere: Unterlassungsanspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5</a>)"	"Wer ein Zeichen entgegen <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 bis 4</a> benutzt, kann vom Markeninhaber bei Wiederholungsgefahr auf Unterlassung in Anspruch genommen werden; der Anspruch besteht auch bei Erstbegehungsgefahr (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 S. 2</a>). Verschulden ist nicht erforderlich.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__15.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 15 Abs. 4 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 MarkenG</a><br><br>Rechtsprechung: BGH Internet-Versteigerung II (I ZR 35/04); BGH ORTLIEB II (I ZR 29/18); BGH Hard Rock Cafe (I ZR 188/11); EuGH DHL Express France/Chronopost (WEBSHIPPING) (C-235/09)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Wer ein Zeichen entgegen <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 bis 4</a> benutzt, kann vom Markeninhaber bei Wiederholungsgefahr auf Unterlassung in Anspruch genommen werden; der Anspruch besteht auch bei Erstbegehungsgefahr (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 S. 2</a>). Verschulden ist nicht erforderlich."	"Unterlassungsanspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5</a>)"	Begriff Umkehr Rechtsfolgen
"Definiere: Schadensersatz (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6</a>) und dreifache Schadensberechnung"	"Wer die Verletzungshandlung vorsätzlich oder fahrlässig begeht, ist zum Ersatz des entstandenen Schadens verpflichtet. Berechnung nach Wahl des Verletzten: (1) konkreter Schaden inkl. entgangenem Gewinn, (2) Herausgabe des Verletzergewinns (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 2</a>), (3) angemessene Lizenzgebühr (Lizenzanalogie, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 3</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 34 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 13 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 7 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 MarkenG</a><br><br>Rechtsprechung: BGH BTK (I ZR 169/07); EuGH Liffers/Mandarina (C-99/15); EuGH OTK/Stowarzyszenie Filmowców Polskich (C-367/15)"	Begriff Rechtsfolgen
